ID,Name,Rank,Platform,PickRate,WinRate,TieRate,OnFire,,,,,,
31,Zarya,Master,PC,11.90%,54.42%,1.89%,10.94%,,,,,,
32,Zenyatta,Master,PC,2.73%,52.34%,1.74%,4.28%,,,,,,
1,Ana,GM,PC,16.30%,56.00%,2.14%,8.65%,,,,,,
2,Ashe,GM,PC,5.27%,54.33%,2.21%,10.68%,,,,,,
3,Baptiste,GM,PC,0.14%,42.86%,3.45%,10.09%,,,,,,
4,Bastion,GM,PC,0.10%,47.62%,0.00%,5.37%,,,,,,
5,Brigitte,GM,PC,0.99%,55.45%,1.46%,2.03%,,,,,,
6,D.Va,GM,PC,1.79%,54.17%,2.44%,5.48%,,,,,,
7,Doomfist,GM,PC,1.20%,57.38%,1.61%,5.96%,,,,,,
8,Echo,GM,PC,0.50%,53.54%,3.88%,8.33%,,,,,,
9,Genji,GM,PC,2.73%,56.36%,2.31%,11.75%,,,,,,
10,Hanzo,GM,PC,2.10%,50.93%,1.15%,9.57%,,,,,,
11,Junkrat,GM,PC,0.67%,58.82%,1.45%,4.77%,,,,,,
12,Lucio,GM,PC,2.88%,60.45%,2.36%,10.14%,,,,,,
13,McCree,GM,PC,0.36%,52.78%,2.70%,7.13%,,,,,,
14,Mei,GM,PC,0.19%,50.00%,10.00%,5.19%,,,,,,
15,Mercy,GM,PC,10.05%,55.45%,2.03%,1.77%,,,,,,
16,Moira,GM,PC,1.17%,57.92%,0.83%,5.77%,,,,,,
17,Orisa,GM,PC,0.16%,43.75%,5.88%,8.64%,,,,,,
18,Pharah,GM,PC,1.67%,58.19%,0.87%,15.39%,,,,,,
19,Reaper,GM,PC,0.61%,60.98%,2.38%,12.75%,,,,,,
20,Reinhardt,GM,PC,1.27%,58.37%,1.91%,6.84%,,,,,,
21,Roadhog,GM,PC,14.62%,56.22%,1.92%,10.42%,,,,,,
22,Sigma,GM,PC,0.42%,56.98%,1.15%,11.96%,,,,,,
23,Soldier: 76,GM,PC,1.40%,54.55%,1.04%,10.71%,,,,,,
24,Sombra,GM,PC,0.41%,48.24%,0.00%,12.25%,,,,,,
25,Symmetra,GM,PC,0.43%,52.33%,3.37%,3.38%,,,,,,
26,Torbjorn,GM,PC,0.87%,53.67%,1.12%,4.44%,,,,,,
27,Tracer,GM,PC,4.41%,56.33%,1.76%,6.85%,,,,,,
28,Widowmaker,GM,PC,5.89%,55.19%,2.39%,7.86%,,,,,,
29,Winston,GM,PC,2.19%,56.48%,4.42%,6.63%,,,,,,
30,Wrecking Ball,GM,PC,5.04%,54.12%,1.83%,2.82%,,,,,,
31,Zarya,GM,PC,10.10%,56.52%,2.02%,11.21%,,,,,,
32,Zenyatta,GM,PC,4.05%,56.83%,1.68%,4.94%,,,,,,
